"filename", "language", "pip requirements", "JSON", "Markdown", "HTML", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\README.md", "Markdown", 0, 0, 33, 0, 0, 0, 0, 0, 14, 47
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\api.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\app.py", "Python", 0, 0, 0, 0, 523, 0, 0, 1, 82, 606
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\data\code.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\data\user.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\egg.py", "Python", 0, 0, 0, 0, 24, 0, 0, 1, 3, 28
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\example_setting.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 0, 52
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\install.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 0, 4, 103
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\requirements.txt", "pip requirements", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\static\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 5, 11
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\static\style.css", "CSS", 0, 0, 0, 0, 0, 762, 0, 0, 140, 902
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\add.html", "HTML", 0, 0, 0, 196, 0, 0, 0, 2, 11, 209
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\afk.html", "HTML", 0, 0, 0, 180, 0, 0, 0, 2, 11, 193
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\code.html", "HTML", 0, 0, 0, 175, 0, 0, 0, 2, 11, 188
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\edit.html", "HTML", 0, 0, 0, 180, 0, 0, 0, 2, 11, 193
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\index.html", "HTML", 0, 0, 0, 205, 0, 0, 0, 2, 7, 214
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\login.html", "HTML", 0, 0, 0, 96, 0, 0, 0, 0, 17, 113
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\old_login.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\shop.html", "HTML", 0, 0, 0, 223, 0, 0, 0, 2, 14, 239
"c:\Users\Hans\OneDrive - apps.ntpc.edu.tw\桌面\孤單一人\資料夾們\程式\python\個人\boardmate\templates\working.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"Total", "-", 4, 65, 155, 1303, 547, 762, 6, 14, 338, 3194